"Frequency","Magnitude Response@Bessel 6th order"
"249.37810560445135","-111.0602660264197"
"261.3387542358729","-109.83323680941791"
"273.87305834253186","-108.60558712336712"
"287.0085315329632","-107.37725567088646"
"300.774007020739","-106.14817506076342"
"315.19970091523766","-104.91827119424968"
"330.3172785479592","-103.68746258791973"
"346.15992397997667","-102.45565962619908"
"362.7624128430976","-101.22276373585251"
"380.16118867462563","-99.98866647379253"
"398.39444291328317","-98.75324851851553"
"417.5021987318904","-97.51637855426614"
"437.52639889081945","-96.27791203565424"
"458.510997805067","-95.03768981886844"
"480.5020580270395","-93.79553664381167"
"503.54785135683596","-92.55125944938744"
"527.6989648019727","-91.3046455017366"
"553.008411619138","-90.05546031240456"
"579.5317476817205","-88.80344532013312"
"607.3271934285463","-87.54831530612668"
"636.4557616615089","-86.28975550813314"
"666.9813914726177","-85.02741839336454"
"698.9710885944415","-83.76092004399749"
"732.4950724820275","-82.48983610152959"
"767.6269304491481","-81.2136972073688"
"804.4437791972165","-79.93198386637506"
"843.0264340914359","-78.6441206472564"
"883.4595865557553","-77.34946961823326"
"925.8319899760246","-76.04732289758444"
"970.2366545194197","-74.7368941757514"
"1016.7710512977774","-73.41730903755577"
"1065.5373263229924","-72.08759387842119"
"1116.6425247241234","-70.74666316552974"
"1170.1988257183766","-69.39330474129258"
"1226.3237888517472","-68.02616279936422"
"1285.140612049828","-66.6437180786994"
"1346.7784020452286","-65.24426471353667"
"1411.372457775207","-63.825883039575366"
"1479.0645673715908","-62.38640747936368"
"1550.0033193949014","-60.92338839990431"
"1624.3444289958582","-59.43404653466219"
"1702.25107972021","-57.91521816550771"
"1783.894281707177","-56.36328873269146"
"1869.4532470677705","-54.7741118334992"
"1959.115783266973","-53.14290961297922"
"2053.078705373276","-51.464149243567306"
"2151.5482680804894","-49.73138839234056"
"2254.74061845014","-47.937080082259115"
"2362.882270368258","-46.0723238815753"
"2476.210601758012","-44.126545514213895"
"2594.974375639611","-42.087080282914286"
"2719.434286181228","-39.938626647137916"
"2849.8635309395686","-37.66252485147498"
"2986.548410546185","-35.23580357419211"
"3129.7889571558862","-32.62993402283696"
"3279.899593036732","-29.809267855258792"
"3437.209820747254","-26.729322940218637"
"3602.0649464158946","-23.335799567509063"
"3774.826837710299","-19.567804455481237"
"3955.874718160262","-15.377980618024663"
"4145.605999577912","-10.812153728011749"
"4344.437154402353","-6.242519904722343"
"4552.804629883617","-2.6014207428102463"
"4771.1658061126145","-0.599228420971085"
"5000.000000000033","-2.892982399668218e-15"
"5239.809517407966","-0.5992284209714303"
"5491.120755743785","-2.601420742811038"
"5754.485359436504","-6.242519904723535"
"6030.481430831999","-10.812153728013065"
"6319.714799165063","-15.377980618025893"
"6622.82035039377","-19.567804455482346"
"6940.463420815242","-23.33579956751005"
"7273.341257521864","-26.72932294021955"
"7622.184548903767","-29.80926785525962"
"7987.759028557128","-32.629934022837716"
"8370.867156118955","-35.235803574192815"
"8772.349878717914","-37.66252485147564"
"9193.08847690769","-39.93862664713853"
"9634.006499134819","-42.087080282914876"
"10096.0717889873","-44.12654551421445"
"10580.298609673875","-46.07232388157584"
"11087.749870397416","-47.93708008225963"
"11619.53945950939","-49.73138839234106"
"12176.834689566862","-51.46414924356779"
"12760.8588596591","-53.14290961297967"
"13372.893940628215","-54.774111833499646"
"14014.283389078117","-56.363288732691906"
"14686.43509634868","-57.91521816550813"
"15390.824478928338","-59.4340465346626"
"16128.997717088736","-60.92338839990472"
"16902.575148850472","-62.386407479364095"
"17713.2548267299","-63.825883039575764"
"18562.81624507426","-65.24426471353705"
"19453.124246166935","-66.64371807869976"
"20386.1331136769","-68.02616279936458"
"21363.890862437842","-69.39330474129297"
"22388.54373397323","-70.74666316553011"
"23462.34090763533","-72.08759387842156"
"24587.63943769941","-73.41730903755612"
"25766.909427250397","-74.73689417575176"
"27002.73945021896","-76.04732289758479"
"28297.842233468786","-77.34946961823361"
"29655.060611407574","-78.64412064725676"
"31077.373766192497","-79.93198386637542"
"32567.903767227806","-81.21369720736914"
"34129.92242430918","-82.48983610152996"
"35766.858469457926","-83.76092004399783"
"37482.30508320963","-85.0274183933649"
"39280.0277818779","-86.2897555081335"
"41163.97268310636","-87.54831530612704"
"43138.27516785217","-88.80344532013348"
"45207.268957814806","-90.05546031240492"
"47375.495628235636","-91.30464550173694"
"49647.71457694939","-92.5512594493878"
"52028.913471570384","-93.79553664381203"
"54524.31919774565","-95.03768981886878"
"57139.40933250714","-96.2779120356546"
"59879.9241679077","-97.5163785542665"
"62751.8793113336","-98.75324851851587"
"65761.57889015194","-99.98866647379288"
"68915.62938967813","-101.22276373585285"
"72220.95415483865","-102.45565962619943"
"75684.8085873611","-103.68746258792004"
"79314.79607185045","-104.91827119425002"
"83118.88466571024","-106.14817506076378"
"87105.42458954414","-107.3772556708868"
"91283.16655643046","-108.60558712336751"
"95661.28098030355","-109.83323680941825"
